permno,permco,cusip,comnam,namedt,nameenddt,end_date,st_date,siccd,gvkey
15654,55359,23753F10,HENNESSY CAPITAL ACQ CORP II,2015-09-14,2017-02-27,2023-12-29,2015-09-14,9999,024552
93436,53453,88160R10,TESLA MOTORS INC,2010-06-29,2017-02-01,2023-12-29,2010-06-29,9999,184996
93434,53427,78513510,S & W SEED CO,2010-06-14,2023-12-29,2023-12-29,2010-06-14,9999,184259
20891,58166,35909R10,FRONTIER GROUP HOLDINGS INC,2021-04-01,2023-12-29,2023-12-29,2021-04-01,9999,038282
20892,58167,19260Q10,COINBASE GLOBAL INC,2021-04-14,2023-12-29,2023-12-29,2021-04-14,9999,034749
20894,58169,03831W10,APPLOVIN CORP,2021-04-15,2023-12-29,2023-12-29,2021-04-15,9999,038212
20895,58170,90089L10,TUSIMPLE HOLDINGS INC,2021-04-15,2023-12-29,2023-12-29,2021-04-15,9999,038596
20898,58171,75629V10,RECURSION PHARMACEUTICALS INC,2021-04-16,2023-12-29,2023-12-29,2021-04-16,9999,038474
20902,58175,51819L10,LATHAM GROUP INC,2021-04-23,2023-12-29,2023-12-29,2021-04-23,9999,038576
20975,58048,23834J20,V P C IMPACT ACQ HLDGS III INC,2021-04-26,2022-01-05,2023-12-29,2021-04-26,7389,037961
21011,58070,04845310,ATLANTIC COASTAL ACQ CORP,2021-04-26,2023-08-20,2023-12-29,2021-04-26,9999,038071
21016,58193,00974H10,AKOYA BIOSCIENCES INC,2021-04-16,2023-12-29,2023-12-29,2021-04-16,9999,038527
21017,58194,01644J10,ALKAMI TECHNOLOGY INC,2021-04-14,2023-12-29,2023-12-29,2021-04-14,9999,038329
21018,58077,02369M10,AMERICAN ACQUISITION OPP INC,2021-04-29,2023-10-15,2023-12-29,2021-04-29,9999,038014
21019,58078,29415V10,ANZU SPECIAL ACQ CORP I,2021-04-22,2023-10-01,2023-12-29,2021-04-22,9999,038030
21023,58079,04282M10,ARROWROOT ACQUISITION CORP,2021-04-22,2023-12-29,2023-12-29,2021-04-22,9999,038070
21024,57910,G6332A10,ALPHA CAPITAL ACQUISITION CO,2021-04-12,2022-08-03,2023-12-29,2021-04-12,9999,037951
21025,58082,08774B10,AURORA ACQUISITION CORP,2021-04-26,2023-08-23,2023-12-29,2021-04-26,9999,038089
21026,58195,05356F10,AVEANNA HEALTHCARE HOLDINGS INC,2021-04-29,2023-12-29,2023-12-29,2021-04-29,9999,038688
21027,58196,09077A10,BIOMEA FUSION INC,2021-04-16,2023-12-29,2023-12-29,2021-04-16,9999,038529
21028,57916,31423J10,B RILEY PRINCIPAL 150 MERGER,2021-04-09,2022-07-19,2023-12-29,2021-04-09,9999,037779
21029,57920,78137L10,C F ACQUISITION CORP VI,2021-04-12,2022-09-18,2023-12-29,2021-04-12,9999,037953
21030,57921,83444K10,C M LIFE SCIENCES II INC,2021-04-15,2021-09-01,2023-12-29,2021-04-15,9999,037964
21034,58090,G2758T10,D H C ACQUISITION CORP,2021-04-22,2023-12-29,2023-12-29,2021-04-22,9999,038040
21035,58093,02871910,DIGITAL TRANSFORMATION OPP CORP,2021-04-30,2023-09-20,2023-12-29,2021-04-30,9999,038095
21041,58201,83193E10,SMART SHARE GLOBAL LTD,2021-04-01,2023-12-29,2023-12-29,2021-04-01,9999,038538
21044,57932,74441310,FORESIGHT ACQUISITION CORP,2021-04-05,2021-12-05,2023-12-29,2021-04-05,9999,037797
21051,58202,30320C10,F T C SOLAR INC,2021-04-28,2023-12-29,2023-12-29,2021-04-28,9999,038673
21052,58107,G8572710,GOLDENBRIDGE ACQUISITION LTD,2021-04-16,2023-05-17,2023-12-29,2021-04-16,9999,037839
21056,57941,02157E10,CARTESIAN GROWTH CORP,2021-04-16,2023-01-03,2023-12-29,2021-04-16,9999,038016
21060,58204,95075A10,WEREWOLF THERAPEUTICS INC,2021-04-30,2023-12-29,2023-12-29,2021-04-30,9999,038625
21061,58115,09068310,HAYMAKER ACQUISITION CORP III,2021-04-22,2022-05-26,2023-12-29,2021-04-22,9999,038200
21062,58205,G4772412,INFOBIRD CO LTD,2021-04-20,2022-09-08,2023-12-29,2021-04-20,9999,037601
21066,58207,M5R63510,INNOVIZ TECHNOLOGIES LTD,2021-04-06,2023-12-29,2023-12-29,2021-04-06,9999,038590
21068,57948,G5280710,KISMET ACQUISITION TWO CORP,2021-04-12,2023-02-26,2023-12-29,2021-04-12,9999,037911
21069,58208,Y4600W10,KAROOOOO LTD,2021-04-01,2023-12-29,2023-12-29,2021-04-01,9999,347085
